family	method	path	access	handler
public	GET	/v1/version	Public	version
public	GET	/v1/me	Authenticated	me
public	GET	/v1/platform/overview	Platform(ViewPlatform)	platform::platform_overview
public	GET	/v1/platform/workshops	Platform(ViewPlatform)	platform::platform_workshops
public	GET	/v1/platform/workshops/{id}	Platform(ViewPlatform)	platform::platform_workshop
public	GET	/v1/platform/workshops/{id}/webshop	Platform(ViewPlatform)	webshop::platform_get
public	POST	/v1/platform/workshops/{id}/deletion	Platform(AdministerPlatform)	platform::platform_delete_workshop
public	POST	/v1/platform/workshops/{id}/reconcile	Platform(OperateFleet)	platform::platform_reconcile_workshop
public	GET	/v1/platform/operations	Platform(ViewPlatform)	platform::platform_operations
public	GET	/v1/platform/users	Platform(ViewPlatform)	platform::platform_users
public	GET	/v1/platform/status	Platform(ViewPlatform)	platform::platform_status
public	GET	/v1/platform/releases	Platform(ViewPlatform)	platform::platform_releases
public	GET	/v1/platform/releases/{id}	Platform(ViewPlatform)	platform::platform_release
public	POST	/v1/platform/releases/{id}/preflight	Platform(OperateFleet)	platform::platform_release_preflight
public	POST	/v1/platform/releases/{id}/adopt	Platform(OperateFleet)	platform::platform_release_adopt
public	POST	/v1/platform/releases/{id}/retry-failed-tenants	Platform(OperateFleet)	platform::platform_release_retry_failed
public	GET	/v1/platform/releases/{id}/tenants	Platform(ViewPlatform)	platform::platform_release_tenants
public	GET	/v1/platform/email-deliveries	Platform(ViewPlatform)	platform::platform_email_deliveries
public	GET	/v1/platform/audit-events	Platform(ViewPlatform)	platform::platform_audit_events
public	GET	/v1/platform/roles	Platform(ViewPlatform)	platform_roles_list
public	POST	/v1/platform/roles	Platform(AdministerPlatform)	platform_role_grant
public	DELETE	/v1/platform/roles/{id}	Platform(AdministerPlatform)	platform_role_revoke
public	GET	/v1/platform/privacy	Platform(ViewPlatform)	platform_privacy_overview
public	POST	/v1/platform/privacy/retention-runs	Platform(RunRetention)	platform_privacy_retention_run
public	GET	/v1/platform/privacy/requests	Platform(ViewPlatform)	platform_privacy_requests
public	POST	/v1/platform/privacy/requests/{id}/decision	Platform(ReviewPrivacy)	platform_privacy_request_decision
public	POST	/v1/platform/privacy/processor-tasks/{id}/acknowledge	Platform(ReviewPrivacy)	platform_privacy_processor_task_acknowledge
public	POST	/v1/platform/privacy/incidents	Platform(RespondSecurity)	platform_privacy_incident_create
public	POST	/v1/platform/privacy/incidents/{id}/assessment	Platform(AssessIncident)	platform_privacy_incident_assess
public	POST	/v1/platform/privacy/legal-holds	Platform(ReviewPrivacy)	platform_privacy_legal_hold_create
public	POST	/v1/platform/privacy/legal-holds/{id}/release	Platform(ReviewPrivacy)	platform_privacy_legal_hold_release
public	GET	/v1/privacy/requests	Authenticated	privacy_requests
public	POST	/v1/privacy/requests	Authenticated	create_privacy_request
public	GET	/v1/privacy/requests/{id}	Authenticated	privacy_request
public	POST	/v1/privacy/requests/{id}/export	Authenticated	consume_privacy_export
public	POST	/v1/identity/link	VerifiedBearer	link_identity
public	GET	/v1/workshops	Authenticated	workshops::workshops
public	POST	/v1/workshops	Authenticated	workshops::create_workshop
public	GET	/v1/workshops/{id}	Workshop(ViewWorkshop)	workshops::workshop
public	GET	/v1/workshops/{id}/members	Workshop(ViewWorkshop)	workshops::members
public	GET	/v1/workshops/{id}/invitations	Workshop(ManageMembers)	workshops::invitations
public	POST	/v1/workshops/{id}/invitations	Workshop(ManageMembers)	workshops::invite
public	POST	/v1/invitations/{id}/resend	Authenticated	workshops::resend_invitation
public	DELETE	/v1/invitations/{id}	Authenticated	workshops::revoke_invitation
public	POST	/v1/invitations/validate	Public	workshops::validate_invitation
public	POST	/v1/invitations/accept	VerifiedBearer	workshops::accept_invitation
public	GET	/v1/workshops/{id}/members/{user_id}	Workshop(ViewWorkshop)	workshops::member
public	PATCH	/v1/workshops/{id}/members/{user_id}	Workshop(ManageMembers)	workshops::update_member
public	DELETE	/v1/workshops/{id}/members/{user_id}	Workshop(ManageMembers)	workshops::remove_member
public	GET	/v1/workshops/{id}/ownership-transfers	Workshop(ViewWorkshop)	workshops::ownership_transfers
public	POST	/v1/workshops/{id}/ownership-transfers	Workshop(TransferOwnership)	workshops::create_ownership_transfer
public	POST	/v1/ownership-transfers/{id}/accept	Authenticated	workshops::accept_ownership_transfer
public	GET	/v1/workshops/{id}/integrations	Workshop(ViewWorkshop)	integrations
public	GET	/v1/workshops/{id}/modules	Workshop(ViewWorkshop)	modules
public	POST	/v1/workshops/{id}/modules/{module_key}/enable	Workshop(ManageModules)	enable_module
public	GET	/v1/workshops/{id}/webshop	Workshop(ViewWorkshop)	webshop::get
public	POST	/v1/workshops/{id}/webshop/onboarding/refresh	Workshop(ManageModules)	webshop::refresh
public	POST	/v1/workshops/{id}/webshop/onboarding/complete	Workshop(ManageModules)	webshop::complete
public	POST	/v1/workshops/{id}/webshop/deactivate	Workshop(ManageModules)	webshop::deactivate
public	GET	/v1/workshops/{id}/carrier-secrets	Workshop(ViewWorkshop)	carrier_secrets::list
public	POST	/v1/workshops/{id}/carrier-secrets	Workshop(ManageModules)	carrier_secrets::upsert
public	GET	/v1/workshops/{id}/carrier-targets	Workshop(ViewWorkshop)	carrier_secrets::targets
public	DELETE	/v1/workshops/{id}/carrier-secrets/{secret_id}	Workshop(ManageModules)	carrier_secrets::delete
public	GET	/v1/workshops/{id}/domains	Workshop(ViewWorkshop)	domains::list
public	POST	/v1/workshops/{id}/domains	Workshop(ManageModules)	domains::create
public	POST	/v1/workshops/{id}/domains/{domain_id}/verify	Workshop(ManageModules)	domains::verify
public	POST	/v1/workshops/{id}/domains/{domain_id}/canonical	Workshop(ManageModules)	domains::make_canonical
public	DELETE	/v1/workshops/{id}/domains/{domain_id}	Workshop(ManageModules)	domains::disconnect
public	GET	/v1/workshops/{id}/email-domains	Workshop(ViewWorkshop)	email_domains::list
public	POST	/v1/workshops/{id}/email-domains	Workshop(ManageModules)	email_domains::create
public	POST	/v1/workshops/{id}/email-domains/{domain_id}/check	Workshop(ManageModules)	email_domains::check
public	DELETE	/v1/workshops/{id}/email-domains/{domain_id}	Workshop(ManageModules)	email_domains::disconnect
public	GET	/v1/workshops/{id}/email/smtp	Workshop(ViewWorkshop)	smtp::get
public	POST	/v1/workshops/{id}/email/smtp	Workshop(ManageModules)	smtp::configure
public	DELETE	/v1/workshops/{id}/email/smtp	Workshop(ManageModules)	smtp::reset
public	GET	/v1/workshops/{id}/database	Workshop(ViewWorkshop)	recovery::database
public	POST	/v1/workshops/{id}/database/snapshots	Workshop(ManageDatabase)	recovery::create_snapshot
public	POST	/v1/workshops/{id}/database/backups	Workshop(ManageDatabase)	recovery::create_backup
public	POST	/v1/workshops/{id}/database/backups/{recovery_id}/download	Workshop(ManageDatabase)	recovery::download_backup
public	POST	/v1/workshops/{id}/database/restores	Workshop(ManageDatabase)	recovery::restore_database
public	POST	/v1/workshops/{id}/database/duplicates	Workshop(ManageDatabase)	recovery::duplicate_database
public	GET	/v1/operations/{id}	Authenticated	operation
public	POST	/v1/operations/{id}/retry	Authenticated	retry_operation
internal	POST	/internal/v1/paperless/{workshop_id}/events	TenantBridgePath	internal::paperless_event
internal	POST	/internal/v1/workshops/{workshop_id}/inventory-captures	TenantBridgePath	internal::inventory_capture
internal	POST	/internal/v1/workshops/{workshop_id}/inventory-product-lookups	TenantBridgePath	internal::inventory_product_lookup
internal	POST	/internal/v1/workshops/{workshop_id}/webshop-mails	TenantBridgePath	internal::webshop_transactional_mail
internal	POST	/internal/v1/workshops/{workshop_id}/oidc/verify	TenantBridgePath	internal::verify_odoo_id_token
internal	POST	/internal/v1/mail-events	MailEventGateway	internal::mail_delivery_event
internal	POST	/internal/v1/tenants/{workshop_id}/reconcile	InternalService	internal::reconcile_tenant
internal	POST	/internal/v1/entitlements/{workshop_id}/ack	InternalService	internal::ack_entitlement
internal	POST	/internal/v1/carrier-secrets/resolve	TenantBridgeBody	carrier_secrets::resolve
internal	POST	/internal/v1/application-releases	ReleasePublisher	platform::publish_release
